charge,species,alpha
0,C=Si(-H)-H,7.134
0,N1=P-N=P-N=P1,13
0,H-S-C,5.463
0,H-O-S(=O)-O-H,5.355
0,O=S(-F)(-O-H)=O,4.9
0,F-S(-F)(-F)(-F)-F,4.713
0,O=S(-O1)(-O-Mg1)=O,7.749
0,O=Cl(=O)(-O-H)=O,5.491
0,Cl-P(-Cl)(-Cl)(-Cl)-Cl,14.525
0,Cl-B(-B(-Cl)-Cl)-Cl,12.298
0,F-Cl(-F)(-F)(-F)-F,5.614
0,F-S(-F)(-F)(-F)=O,4.605
0,F-As(-F)(-F)(-F)-F,4.631
0,C-Se-H,6.499
0,C-Mg-Br,9.296
0,F-Br(-F)(-F)(-F)-F,5.954
0,C-B(-H)-H,4.355
0,C1-C=C1,5.117
0,C-N=N=N,5.767
0,N1=C-N(-H)-N=N1,5.824
0,H-O-C-O-H,3.884
0,C=C-O-H,4.861
0,C-N=C=O,5.363
0,H-O-C-C#N,5.107
0,H-O-B(-O-H)-O-H,4.196
0,O=C-O-C=O,5.512
0,O=N(-O-N(=O)=O)=O,6.897
0,F-C-C=O,4.496
0,C-C(=O)-F,4.423
0,H-O-S(=O)(=O)-O-H,5.395
0,N1=C-S-C=N1,8.04
0,C-C(=O)-Cl,6.589
0,Cl-S(-F)(-F)(-F)(-F)-F,6.647
0,H-O-Se(=O)(=O)-O-H,6.664
0,F-Se(-F)(-F)(-F)(-F)-F,5.249
0,C1=C-C=C1,6.631
0,C-N=C,5.367
0,N1=C-N=N-C=N1,7.33
0,C=C=C-O-H,6.854
0,F-B(-F)(-N(-H)(-H)-H)-F,4.135
0,H-Al(-H)(-Al(-H)(-H)-H)-H,9.116
0,H-Si(-H)(-C)-H,6.374
0,C-Si(-H)(-H)-F,5.919
0,H-B(-H)(-P(-H)(-H)-H)-H,7.021
0,H-O-P(=O)(-O-H)-O-H,5.741
0,N1-S-N-S-N-S-N-S1,16.148
0,S1-S-S-S-S-S-S-S1,25.918
0,Cl-Al1(-Cl)-Cl-Al(-Cl)(-Cl)-Cl1,18.267
0,H-Ga(-H)(-Ga(-H)(-H)-H)-H,9.538
0,H-Ge(-H)(-C)-H,6.919
0,C1=N-C=N-C1,6.938
0,C-O-C,4.965
0,C-C-O-O,5.675
0,O=C-C=C-O-H,7.045
0,O=C-C-C=O,6.046
0,C-C=C-F,5.937
0,C-Zn-C,7.94
0,C-Se-C,8.398
0,C1-C=C-C1,6.969
0,C1-C(=C)-C1,7.394
0,C1=C-C#C-C=C1,9.868
0,C#C-C=C-C#C,11.143
0,N#C-C-C-C#N,8.206
0,C-O-O-C,6.072
0,N#C-C-O-C,6.373
0,C=C-C(=O)-N(-H)-H,6.773
0,C-C(=S)-C,9.081
0,C1-C-C-S1,8.836
0,F-S(-F)(-F)(-F)(-F)-C(-F)(-F)-F,6.871
0,C-C(=C)-C#C,8.445
0,C#C-C=C-C,8.806
0,N#C-C-C-N(-H)-H,7.507
0,C1=C-N=C-C=C1,9.423
0,C=C-C=C-C#N,9.423
0,O=C-C=C-C,8.311
0,C=C-O-C=C,9.104
0,C1-C(=O)-C-C1,7.451
0,C1-C-O-C=C1,6.864
0,C1-O-C-C=C1,6.952
0,C1-O-C-O-C1,6.571
0,N1=C-C=C(-C)-O1,7.706
0,C-C-O-N(=O)=O,7.596
0,F-C-C-C,6.046
0,C-C(-F)-C,6.046
0,F-C-C-C-F,6.069
0,C=C-S-C=C,11.605
0,C1-S-C-C=C1,9.779
0,C-S-S-S-C,14.081
0,C-C(-Cl)-C,8.049
0,O-C-Fe(-C-O)(-C-O)(-C-O)-C-O,13.101
0,C1-C-C-C1,7.327
0,C=C=C-C=C=C,13.061
0,C-C#C-C#C-C,12.061
